authour,category,date,push,title,url
onioneggss,3, 8/19,28,音樂   小人 30 歲 南拳   北腿   live   ver,/bbs/Hip-Hop/M.1566150004.A.701.html
shuun2007,3, 8/19,4,音樂   KyrieJ     她 Gucci 的 時候 眼淚 總是 Prada   Pr,/bbs/Hip-Hop/M.1566188054.A.694.html
henryhuang17,3, 8/19,15,音樂   第九 分局 瘦子 ESO 天 的 創作,/bbs/Hip-Hop/M.1566189786.A.7CD.html
h2030625,5, 8/19,28,討論   這季 AUTOTUNE 高手 都 下去 了,/bbs/Hip-Hop/M.1566192269.A.76D.html
hisaken,6, 8/17,43,問題   51F 的 歌要 怎麼 品味,/bbs/Hip-Hop/M.1566010800.A.FA8.html
hisaken,5, 8/17,29,討論   復 活賽 影片,/bbs/Hip-Hop/M.1566017592.A.892.html
bassmaster,5, 8/17,27,討論   表演 時 的 動作 設計,/bbs/Hip-Hop/M.1566020689.A.55B.html
ff704,10, 8/17,36,Re   音樂   CBLOCK 劉聰 KeyL     Hey   Kong,/bbs/Hip-Hop/M.1566022131.A.FCC.html
yang0405,3, 8/16,13,音樂   劉炫廷 GEM,/bbs/Hip-Hop/M.1565917128.A.014.html
Drake5566,3, 8/16,11,音樂   Snoop   Dogg   新 專輯 釋出,/bbs/Hip-Hop/M.1565935359.A.F98.html
abc1212050,3, 8/16,7,音樂   Young   Thug     So   Much   Fun   album,/bbs/Hip-Hop/M.1565950629.A.EBE.html
ashianQQ,10, 8/16,2,Re   活動   2019   黑熊 部落   Vol6   X   顏社   國慶連假,/bbs/Hip-Hop/M.1565950666.A.248.html
KarlMarx,3, 8/14,3,音樂   Dirty   Twinz     我 的 人民,/bbs/Hip-Hop/M.1565784395.A.2F1.html
shane81004,3, 8/14,87,音樂   OZISMOKE 狼煙,/bbs/Hip-Hop/M.1565785772.A.0D5.html
yji3vu4gj4,5, 8/14,X1,討論   臺 灣饒 舌 歌手 不表態 嗎,/bbs/Hip-Hop/M.1565787598.A.F13.html
HaiTurtle,3, 8/19,55,音樂   9m88     最高 品質靜 悄悄   ft   Leo 王,/bbs/Hip-Hop/M.1566192799.A.765.html
yellowjay,5, 8/19,17,討論   微博粉 絲數,/bbs/Hip-Hop/M.1566199346.A.C0D.html
qwe0919,5, 8/17,28,討論   徐 真真 取消 演出 的 原因,/bbs/Hip-Hop/M.1566028172.A.C0D.html
KarlMarx,3, 8/17,2,音樂   福克斯 左乙     撒嬌,/bbs/Hip-Hop/M.1566048565.A.88A.html
yang0405,3, 8/17,3,音樂   Mercy   SeanT   Boom 拿 回來,/bbs/Hip-Hop/M.1566049203.A.3BA.html
henryhuang17,0, 8/16,爆,公告   中國 新 說 唱 2019   第十集   集中 討論 串,/bbs/Hip-Hop/M.1565951380.A.90E.html
owliper,3, 8/16,28,音樂   高浩哲 風水輪 流轉,/bbs/Hip-Hop/M.1565962788.A.B0E.html
fanssica,3, 8/16,2,音樂   ocean   wisdom   好 屌,/bbs/Hip-Hop/M.1565964665.A.B53.html
KarlMarx,3, 8/16,24,音樂   新秀     獨苗   live,/bbs/Hip-Hop/M.1565967025.A.387.html
kara2825,6, 8/16,61,問題   小春 Verse 的 巔峰 是 哪一首,/bbs/Hip-Hop/M.1565967028.A.C67.html
foam0406,6, 8/14,14,問題   為 啥 cblock 能 寫 以下 范上 這種 歌,/bbs/Hip-Hop/M.1565791761.A.1AA.html
sgtpepper,10, 8/14,19,Re   討論   臺 灣饒 舌 歌手 不表態 嗎,/bbs/Hip-Hop/M.1565793561.A.BA3.html
threebangz,5, 8/14,49,討論   蛋堡 ig,/bbs/Hip-Hop/M.1565796027.A.B48.html
eashun,3, 8/13,8,音樂   SiR     hair   down   ft   Kendrick   Lamar,/bbs/Hip-Hop/M.1565698827.A.7E0.html
KarlMarx,3, 8/13,24,音樂   CBLOCK 劉聰 KeyL     Hey   Kong,/bbs/Hip-Hop/M.1565709358.A.A99.html
KarlMarx,3, 8/13,4,音樂   新秀     無稽 之談 remix,/bbs/Hip-Hop/M.1565709941.A.828.html
cze71210,5, 8/17,30,討論   韻腳會 在意 音一樣 嗎,/bbs/Hip-Hop/M.1566049277.A.824.html
navicrops,10, 8/17,3,Re   討論   表演 時 的 動作 設計,/bbs/Hip-Hop/M.1566054543.A.F27.html
undernoodle,3, 8/17,20,音樂   KHOW 高浩哲     等 著 看 JUST   WATCH   FtBG8,/bbs/Hip-Hop/M.1566056649.A.EEE.html
shane81004,3, 8/16,3,音樂   JAXX     ICY   BOIICE   TRAY   DA   GANG,/bbs/Hip-Hop/M.1565968887.A.4AA.html
shane81004,3, 8/16,10,音樂   Gambler 五堵,/bbs/Hip-Hop/M.1565969550.A.BC9.html
henryhuang17,0, 8/16,3,公告   倉庫 2 天   pttfaywu,/bbs/Hip-Hop/M.1565969697.A.AD0.html
shane81004,3, 8/16,2,音樂   ANBASouth   Slide,/bbs/Hip-Hop/M.1565969810.A.993.html
nwd4e9cd,5, 8/15,X2,討論   PG   One   Freestyle,/bbs/Hip-Hop/M.1565800818.A.B44.html
henryhuang17,3, 8/15,1,音樂   頑童 MJ116 兵法   The   Quote,/bbs/Hip-Hop/M.1565801526.A.B2E.html
hisaken,10, 8/15,15,Re   討論   中國 新 說 唱 紅綠榜,/bbs/Hip-Hop/M.1565833601.A.D20.html
KarlMarx,3, 8/13,13,音樂   王嗣堯 Turbo     優雅,/bbs/Hip-Hop/M.1565710122.A.511.html
jerry0604321,6, 8/14,11,問題   有類 似 lil   mosey 這類 的 音樂 嗎,/bbs/Hip-Hop/M.1565716690.A.BF3.html
ccXVI,5, 8/14,X2,討論   艾福杰 尼   IG,/bbs/Hip-Hop/M.1565720925.A.4BF.html
hardwilson,5, 8/14,X1,討論     以後不 支持   VAVA 了,/bbs/Hip-Hop/M.1565724228.A.FE8.html
joywilliamjo,10, 8/14,X1,Re   討論     以後不 支持   VAVA 了,/bbs/Hip-Hop/M.1565747859.A.401.html
SaintHarryH,10, 8/14,9,Re   討論     以後不 支持   VAVA 了,/bbs/Hip-Hop/M.1565749896.A.6E7.html
CHANYII,3, 8/11,9,音樂   DinPeiAbout   Life   ftTipsy 小魚 RayRa  ,/bbs/Hip-Hop/M.1565539036.A.744.html
wackyjazz,5, 8/12,33,討論   顏社 小劇場   蛋堡   黃 昏場 心得,/bbs/Hip-Hop/M.1565540865.A.FE5.html
art19971006,3, 8/12,16,音樂   劉聰 Fly   Away   鋼琴 solo 版,/bbs/Hip-Hop/M.1565540887.A.01E.html
hisaken,3, 8/12,11,音樂   ICE   x   肖恩 恩   Lonely   Night,/bbs/Hip-Hop/M.1565576797.A.1EB.html
KarlMarx,5, 8/17,63,討論   中國 新 說 唱 2019   ep10,/bbs/Hip-Hop/M.1565971309.A.B85.html
mingminghuan,5, 8/17,38,討論   Wudu   Montana  ,/bbs/Hip-Hop/M.1565973866.A.FAE.html
keke0421,10, 8/15,10,Re   討論   臺 灣饒 舌 歌手 不表態 嗎,/bbs/Hip-Hop/M.1565835217.A.C5D.html
NBHD,10, 8/15,9,Re   討論   臺 灣饒 舌 歌手 不表態 嗎,/bbs/Hip-Hop/M.1565839224.A.213.html
nayeonmywife,3, 8/15,X1,音樂   CB 功夫 胖     井底 之 WA 跳跳 蛙 20,/bbs/Hip-Hop/M.1565852428.A.1CC.html
shane81004,10, 8/14,爆,Re   討論     以後不 支持   VAVA 了,/bbs/Hip-Hop/M.1565752117.A.23F.html
qqqwsd,10, 8/14,30,Re   音樂   CBLOCK 劉聰 KeyL     Hey   Kong,/bbs/Hip-Hop/M.1565754872.A.E69.html
yuxds,10, 8/14,13,Re   討論     以後不 支持   VAVA 了,/bbs/Hip-Hop/M.1565760134.A.43E.html
Thewayfrom,3, 8/12,4,音樂   MC   NAGI 饒 江湖,/bbs/Hip-Hop/M.1565592038.A.F5C.html
hhhh50911,3, 8/12,10,音樂   Cream   D     UP   UP,/bbs/Hip-Hop/M.1565607203.A.246.html
chengsoul03,6, 8/12,24,問題   求 一些 舒服 的 beat 的 歌,/bbs/Hip-Hop/M.1565615602.A.93F.html
derder9,7, 8/12,6,創作   自己 做 的 beat,/bbs/Hip-Hop/M.1565615787.A.955.html
hisaken,5, 8/10,55,討論   大 傻 和 黃 旭,/bbs/Hip-Hop/M.1565416830.A.FAB.html
ig49999,5, 8/10,10,討論 這季 是 花 最 多 的 一次 嗎,/bbs/Hip-Hop/M.1565419422.A.5C3.html
yellowjay,5, 8/10,爆,討論   三季 分別 最 喜歡 的 選手,/bbs/Hip-Hop/M.1565427724.A.757.html
dindaofay,6, 8/10,10,問題   楊和蘇 怎麼 輸 了,/bbs/Hip-Hop/M.1565433990.A.477.html
bassmaster,5, 8/15,10,討論   怎麼 評價 New   Wave,/bbs/Hip-Hop/M.1565853901.A.4C6.html
nayeonmywife,10, 8/15,33,Re   討論   臺 灣饒 舌 歌手 不表態 嗎,/bbs/Hip-Hop/M.1565853917.A.F0D.html
henryhuang17,0, 8/15,3,公告   busashi   倉庫 6 天,/bbs/Hip-Hop/M.1565864586.A.A23.html
joywilliamjo,3, 8/15,11,音樂   GIDDY   UPh1ghr   music,/bbs/Hip-Hop/M.1565865147.A.9C7.html
prettybozy,5, 8/14,9,討論   ICE   IG,/bbs/Hip-Hop/M.1565765423.A.BDD.html
OPPAISuki,5, 8/14,13,討論   批機 萬 太 令人 失望 了,/bbs/Hip-Hop/M.1565770402.A.346.html
sanrika,3, 8/14,爆,音樂   7nnyG     敏感 奶   sensitive   tits,/bbs/Hip-Hop/M.1565770795.A.E17.html
HaiTurtle,8, 8/12,22,新聞   新歌 捲 入 抄 襲風 暴周 湯豪 爆氣 嗆 我 不是 小偷,/bbs/Hip-Hop/M.1565621389.A.3F3.html
andrewlan,6, 8/13,17,問題   莫 宰羊 簽 摩登 天空,/bbs/Hip-Hop/M.1565639044.A.6E0.html
pp771017,5, 8/13,8,討論   中國 真的 很 愛 51 凡式 說 唱 嗎,/bbs/Hip-Hop/M.1565642872.A.E57.html
rosehead48,7, 8/13,4,創作   自己 做 的 Beat,/bbs/Hip-Hop/M.1565659267.A.D79.html
tony29850135,3, 8/10,7,音樂   DUF     SadStar   beats   by   Error,/bbs/Hip-Hop/M.1565434911.A.E4D.html
RickyLeeeee,9, 8/10,32,趣味   整理 CD 翻到 熊仔 舊照,/bbs/Hip-Hop/M.1565437223.A.124.html
abc4631023,7, 8/10,1,創作   BO     Rainy   Day   害 我 觸景 傷情,/bbs/Hip-Hop/M.1565444762.A.266.html
Luvsic,3, 8/09,2,音樂   Murs     9th   Wonder     The   Iliad   is   Dead,/bbs/Hip-Hop/M.1565315832.A.738.html
jack866411,3, 8/09,17,音樂   FANXY   CHILDY,/bbs/Hip-Hop/M.1565329899.A.53F.html
sonet960630,10, 8/14,14,Re   討論     以後不 支持   VAVA 了,/bbs/Hip-Hop/M.1565775949.A.303.html
joywilliamjo,3, 8/14,17,音樂   SimonDominic   DAx4,/bbs/Hip-Hop/M.1565776369.A.9AB.html
shane81004,10, 8/14,30,Re   討論     以後不 支持   VAVA 了,/bbs/Hip-Hop/M.1565776827.A.00C.html
HyperPoro,10, 8/14,20,Re   討論     以後不 支持   VAVA 了,/bbs/Hip-Hop/M.1565780844.A.466.html
rrrivz,3, 8/13,24,音樂   LiziAsiaboy 禁藥王 PIMP,/bbs/Hip-Hop/M.1565659844.A.18D.html
lemon651,5, 8/13,12,討論   為 什麼 Cream   D 可以 過,/bbs/Hip-Hop/M.1565661616.A.E53.html
hisaken,10, 8/13,15,Re   討論   中國 新 說 唱 紅綠榜,/bbs/Hip-Hop/M.1565665329.A.7D1.html
allen271603,5, 8/13,39,討論   大家 都 習慣 60 秒 拿出 最好 的 貨嗎,/bbs/Hip-Hop/M.1565675060.A.55C.html
hy654,5, 8/10,26,討論   Young   B   第三 輪表現 如何,/bbs/Hip-Hop/M.1565447403.A.E2F.html
yang0405,10, 8/10,30,Re   討論   中國 新 說 唱 ep9 新歌 播放 次數,/bbs/Hip-Hop/M.1565447483.A.39A.html
rrrrrmagicgo,5, 8/10,31,討論   福克斯 和 楊 和 蘇,/bbs/Hip-Hop/M.1565449521.A.D41.html
Thewayfrom,3, 8/09,10,音樂   Allyson 陳 瑾 緗 波霸 奶茶 ft 熊仔,/bbs/Hip-Hop/M.1565334293.A.22A.html
abc1212050,3, 8/09,3,音樂   Trippie   Redd   album,/bbs/Hip-Hop/M.1565339466.A.0D9.html
cmpunk66,6, 8/09,25,問題   為 什麼 中國 rapper 前面 都 加一個 key,/bbs/Hip-Hop/M.1565343025.A.CC7.html
bbsbbbbsbb,3, 8/09,4,音樂   光哥 貼 音樂     最具 經典 emo 味 的 emo   rapper,/bbs/Hip-Hop/M.1565344790.A.289.html
GDSY,10, 8/07,3,Re   討論     新 說 唱 越來 越 難 看 的 原因,/bbs/Hip-Hop/M.1565186810.A.26A.html
KarlMarx,3, 8/07,6,音樂   KE 柯蕭     饒舌 機器   Official   Audio,/bbs/Hip-Hop/M.1565193350.A.EFB.html
KarlMarx,3, 8/07,8,音樂   CBLOCK 劉聰 KeyL     桃花 結,/bbs/Hip-Hop/M.1565193540.A.9EB.html
sodoublery66,5, 8/14,43,討論   TY 跟 進表態,/bbs/Hip-Hop/M.1565781483.A.690.html
AKAJ,7, 8/13,1,創作 分享 自己 做的類 g   funkbeat,/bbs/Hip-Hop/M.1565680320.A.027.html
BoonBo,7, 8/13,2,創作   小蛋 想念 妳,/bbs/Hip-Hop/M.1565691619.A.4E7.html
damingli90,5, 8/13,33,討論   高爾宣 的 歌   到底 算不算 芭樂歌,/bbs/Hip-Hop/M.1565696344.A.EA0.html
Capufish,3, 8/10,13,音樂   CREAM   D     LIT,/bbs/Hip-Hop/M.1565450938.A.30A.html
navicrops,10, 8/11,25,Re   討論   三季 分別 最 喜歡 的 選手,/bbs/Hip-Hop/M.1565459481.A.EEA.html
pp771017,5, 8/11,31,討論   這樣 看 下來   周湯豪 是不是 挺強 的,/bbs/Hip-Hop/M.1565465205.A.9DF.html
onioneggss,3, 8/11,5,音樂   人人 有功 練 南拳 北腿 台南 場歌單 0810,/bbs/Hip-Hop/M.1565478092.A.160.html
mouse210,3, 8/11,5,音樂   Ak   Benjamin   Summer   Night   夏夜,/bbs/Hip-Hop/M.1565500837.A.669.html
henryhuang17,0, 8/09,95,公告   中國 新 說 唱 2019   第九集   集中 討論 串,/bbs/Hip-Hop/M.1565346341.A.E58.html
js2a117573,11, 8/09,4,Fw   情報   Lillard   發 佈 第三 張 專輯 BIG   DOLLA,/bbs/Hip-Hop/M.1565346982.A.C73.html
bbsbbbbsbb,3, 8/09,3,音樂   嘻哈樂手 最愛的 鼓手 Travis 與 Emo   rapper,/bbs/Hip-Hop/M.1565348715.A.DEA.html
gtalsc,11, 8/09,X1,唱 饒 舌 唱 到 剁 手指,/bbs/Hip-Hop/M.1565349749.A.8B3.html
popopipi,3, 8/09,19,音樂   老莫 我 教 你,/bbs/Hip-Hop/M.1565354777.A.A79.html
onioneggss,9, 8/08,5,趣味   評析 人人 有功 練 隱藏角 阿雞,/bbs/Hip-Hop/M.1565197131.A.15A.html
HaiTurtle,3, 8/08,7,音樂   老莫   ILL   MO     Home   Raw   Version,/bbs/Hip-Hop/M.1565198014.A.F13.html
joe19990815,5, 8/08,47,討論   貝貝 是不是 很 屌,/bbs/Hip-Hop/M.1565198866.A.763.html
spursmanu,3, 8/08,52,音樂   3 小湯 機票 錢,/bbs/Hip-Hop/M.1565200326.A.F2A.html
allnike,10, 8/08,9,Re   討論     新 說 唱 越來 越 難 看 的 原因,/bbs/Hip-Hop/M.1565201969.A.76A.html
yujimin,5, 8/08,7,討論 9m88     平庸 至上   上架 啦,/bbs/Hip-Hop/M.1565206934.A.09B.html
hy654,5, 8/06,31,討論   紅花會 正式 宣布 解散,/bbs/Hip-Hop/M.1565090550.A.9C9.html
hardwilson,5, 8/06,27,討論     新 說 唱 越來 越 難 看 的 原因,/bbs/Hip-Hop/M.1565094496.A.464.html
yang0405,5, 8/06,1,討論   嘻哈 天王 HBD,/bbs/Hip-Hop/M.1565095555.A.D42.html
henryhuang17,3, 8/11,1,音樂   chelmicoSummer   day,/bbs/Hip-Hop/M.1565503299.A.D7D.html
hyperbrand00,10, 8/11,11,Re   討論   這樣 看 下來   周湯豪 是不是 挺強 的,/bbs/Hip-Hop/M.1565507871.A.169.html
womenkiller,3, 8/11,2,音樂   差不多 先生 live   by   學弟,/bbs/Hip-Hop/M.1565515355.A.29F.html
whoAU,3, 8/11,26,音樂   L4WUDU   Im   Out   Ya,/bbs/Hip-Hop/M.1565532606.A.F8A.html
Zytus1002,6, 8/09,23,問題     有人 知道 vex 到底 長 什麼 樣子 嗎,/bbs/Hip-Hop/M.1565365521.A.5E8.html
KarlMarx,5, 8/10,78,討論   中國 新 說 唱 2019   ep9,/bbs/Hip-Hop/M.1565366529.A.D6A.html
Lein86,7, 8/10,2,創作   YJZN 人造 人 Socialization  ,/bbs/Hip-Hop/M.1565375188.A.578.html
dreamenjoy,5, 8/10,99,討論   3 季以 來 哪些 歌 最 印象 深刻,/bbs/Hip-Hop/M.1565398406.A.CDC.html
yujimin,3, 8/10,41,音樂 日文 rap 推薦 與 求 推薦,/bbs/Hip-Hop/M.1565398477.A.70F.html
subsonic,3, 8/10,7,音樂   福克斯     現實 與 烏托邦,/bbs/Hip-Hop/M.1565401408.A.89B.html
awdv,4, 8/08,3,活動   年輕 血液 Freestyle   Battle   派 對,/bbs/Hip-Hop/M.1565260411.A.DE4.html
Luvsic,3, 8/08,4,音樂   Ty   Dolla   ign     Cinderella   Mac   Miller,/bbs/Hip-Hop/M.1565260590.A.95C.html
MF3HD,3, 8/08,2,音樂   Snoop   DoggLet   Bygones   Be   Bygones,/bbs/Hip-Hop/M.1565263031.A.565.html
foam0406,6, 8/06,9,問題   饒舌 歌手 草粉 是 最 正常 的 吧,/bbs/Hip-Hop/M.1565095795.A.E43.html
Ian881219,3, 8/06,5,音樂   9m88 的 直播,/bbs/Hip-Hop/M.1565100446.A.AE2.html
EasyIsBeauty,3, 8/06,爆,音樂   喝酒 王     大支   feat 恩熙俊 小人 韓森,/bbs/Hip-Hop/M.1565100694.A.1A2.html
mader5566,9, 8/06,8,趣味   美麗有 反應   鄧紫棋 差不多 姑娘,/bbs/Hip-Hop/M.1565102349.A.212.html
henry654,5, 8/06,13,討論   狗 嶽 算是 這季 的 反派 嗎 勿 雷,/bbs/Hip-Hop/M.1565103844.A.D65.html
gi8mow,7, 8/07,7,創作 陳 義亨     辣個 乒乒 ㄅ ㄧ ㄤ ˋ ㄅ ㄧ ㄤ ˋ 的 日子,/bbs/Hip-Hop/M.1565107612.A.79E.html
opop1019,3, 8/05,11,音樂   GJIA     她 Gucci 的 時候 眼淚 總是 Prada   Pra,/bbs/Hip-Hop/M.1564943223.A.D71.html
yang0405,10, 8/05,7,Re   音樂   CHING   G   SQUADDETOX,/bbs/Hip-Hop/M.1564995747.A.956.html
MF3HD,3, 8/05,6,音樂   LogicIcyMVGucci   Mane 老濕 開班授 課,/bbs/Hip-Hop/M.1565000416.A.D08.html
damingli90,5, 8/05,17,討論   彩虹 弟弟 是 未來 饒舌界 的 扛 霸子 嗎,/bbs/Hip-Hop/M.1565004988.A.258.html
LBJohnny23,5, 8/10,5,討論   後 面 兩季 到底 怎麼 了,/bbs/Hip-Hop/M.1565407707.A.25B.html
H004321,5, 8/10,18,討論   高爾宣     without   you   歌詞 疑問,/bbs/Hip-Hop/M.1565408958.A.04C.html
nayeonmywife,3, 8/08,19,音樂   劉聰 KafeHuJD 夢 徐 KiggaHadoukenMV,/bbs/Hip-Hop/M.1565270594.A.30E.html
KarlMarx,3, 8/08,2,音樂   BROCKHAMPTON     If   You   Pray   Right,/bbs/Hip-Hop/M.1565275020.A.0ED.html
KarlMarx,3, 8/08,5,音樂   iann   dior     gone   girl   ft   Trippie   Redd,/bbs/Hip-Hop/M.1565275336.A.12D.html
eeexun,3, 8/08,22,音樂   山姆 Someshit 那些 勸 我別 抽 菸 的 人 都 死 了,/bbs/Hip-Hop/M.1565279611.A.68A.html
loganchen,7, 8/09,2,創作   導遊 饒 舌   Guide   Taiwan,/bbs/Hip-Hop/M.1565311580.A.49B.html
aehvtleo,5, 8/07,13,討論   沒 有人 要 討論 Chance 那張 超難 聽 的 專輯 嗎,/bbs/Hip-Hop/M.1565123885.A.741.html
pp4646,3, 8/07,16,音樂   許時 ShiShr   X   黃 宣 YELLOW   走馬 看花,/bbs/Hip-Hop/M.1565147553.A.546.html
uranus932,7, 8/07,1,創作   阿文腳 踏車,/bbs/Hip-Hop/M.1565161466.A.3E9.html
oray914,3, 8/07,19,音樂   Mac   Miller     Ladders,/bbs/Hip-Hop/M.1565164362.A.172.html
Luvsic,3, 8/05,4,音樂   Rapsody   Ibtihaj   ft   GZA   DAngelo,/bbs/Hip-Hop/M.1565005110.A.53A.html
since2009yj5,3, 8/05,21,音樂   新秀     Family   ft   2LIN7,/bbs/Hip-Hop/M.1565014289.A.74D.html
ccXVI,3, 8/05,26,音樂   Higher   Brothers   ftSnoop   Dogg     Friend,/bbs/Hip-Hop/M.1565014452.A.3C1.html
KarlMarx,3, 8/05,3,音樂   Loopy     Nafla     Shot,/bbs/Hip-Hop/M.1565017584.A.09E.html
daniel890503,5, 8/03,4,討論   Rocky 被 釋放 了,/bbs/Hip-Hop/M.1564776389.A.BB5.html
mingminghuan,5, 8/03,11,討論   中國 新 說 唱 第八期,/bbs/Hip-Hop/M.1564778082.A.314.html
takashi01,3, 8/03,17,音樂   流浪狗   黃 明志 蕭敬騰,/bbs/Hip-Hop/M.1564836912.A.526.html
sysiaczek89,5, 8/07,X2,討論 台灣 饒 舌前 三,/bbs/Hip-Hop/M.1565169936.A.33D.html
pharrell,11, 8/07,1,好歌 推薦,/bbs/Hip-Hop/M.1565178392.A.CBC.html
jimluvssally,3, 8/07,10,音樂   辰旭 KEYNO   DAMN   SINGLE   單身 狗,/bbs/Hip-Hop/M.1565178762.A.55E.html
lillard0,5, 8/05,68,討論   有 饒 舌 歌手 聲線 不好 聽 但 很 成功 嗎,/bbs/Hip-Hop/M.1565018593.A.30F.html
KarlMarx,3, 8/05,8,音樂   新秀     Dolphin,/bbs/Hip-Hop/M.1565018951.A.8AE.html
so3388520,6, 8/06,45,問題   貝貝 直播 剁 手指,/bbs/Hip-Hop/M.1565022641.A.3AB.html
kmat6,5, 8/06,1,討論   求 推薦 像 Its   on   again 開頭 rap 的 歌曲,/bbs/Hip-Hop/M.1565022940.A.2D8.html
yang0405,5, 8/03,25,討論   小白   DOOOBOI   都 幾,/bbs/Hip-Hop/M.1564837489.A.901.html
KarlMarx,5, 8/03,45,討論   中國 新 說 唱 2019   ep8,/bbs/Hip-Hop/M.1564838778.A.0AB.html
roy533881,5, 7/31,1,討論   西奧 是不是 註 定 要 被 淘汰,/bbs/Hip-Hop/M.1564573471.A.A66.html
takashi01,3, 7/31,30,音樂   茶魚 飯後二   JY 馬 訓 韓森,/bbs/Hip-Hop/M.1564576478.A.843.html
bbsbbbbsbb,3, 7/31,6,音樂   凶狠 正 能量   NF     The   Search   光哥 貼 音樂,/bbs/Hip-Hop/M.1564577067.A.0BC.html
tony29850135,3, 8/07,14,音樂   DUF     她 gucci 時候 眼淚 總是 prada   prada 的 dior,/bbs/Hip-Hop/M.1565181175.A.A9C.html
ccXVI,4, 8/07,9,活動   顏社 電台   EP2     陪 你過 七夕,/bbs/Hip-Hop/M.1565182009.A.28F.html
grasskidz59n,6, 8/06,8,問題   國蛋 Honda     Toyota 歌詞 中 的 某 一段,/bbs/Hip-Hop/M.1565025335.A.F10.html
yji3vu4gj4,5, 8/06,45,討論   饒舌 歌手 吃 粉絲 有 對 錯 嗎,/bbs/Hip-Hop/M.1565053830.A.20F.html
hisaken,10, 8/06,15,Re   討論   中國 新 說 唱 紅綠榜,/bbs/Hip-Hop/M.1565068339.A.88C.html
takashi01,5, 8/03,44,討論   王嘉爾 是 rapper 嗎,/bbs/Hip-Hop/M.1564842112.A.290.html
joywilliamjo,5, 8/03,42,討論   這 就是 街舞   第二季     最 後 一集,/bbs/Hip-Hop/M.1564843639.A.57C.html
hy654,5, 8/03,30,討論   SMTM8   60 秒,/bbs/Hip-Hop/M.1564844324.A.E63.html
KarlMarx,3, 7/31,20,音樂   CBLOCK   功夫 胖 KungFuPen     駁殼 槍,/bbs/Hip-Hop/M.1564578080.A.3FD.html
subsonic,3, 7/31,4,音樂   Ranzer     玩一個,/bbs/Hip-Hop/M.1564581500.A.BFD.html
holdallnight,6, 8/01,12,問題   想問 一首 饒舌歌 已 解決,/bbs/Hip-Hop/M.1564616065.A.DE0.html
abcder2001,5, 8/01,70,討論   中國 新 說 唱 2   5 進 4 大雷,/bbs/Hip-Hop/M.1564628325.A.F01.html
hyperbrand00,5, 7/30,20,討論   對 於 這 三季 的 看法,/bbs/Hip-Hop/M.1564489274.A.8DF.html
yji3vu4gj4,5, 7/30,34,討論   新 說 唱 總冠 軍 大家 都 有 底 了 嗎 大雷,/bbs/Hip-Hop/M.1564491591.A.BC0.html
cherrycookie,3, 7/30,2,音樂   SikK     WATER   FeatWoodie   GochildpH1HAONJay   Park,/bbs/Hip-Hop/M.1564493136.A.4FF.html
KarlMarx,3, 7/30,7,音樂   戰犯   Project   W     字母 哥 的 字母 歌   MV,/bbs/Hip-Hop/M.1564501827.A.E04.html
bORis9527,10, 8/06,22,Re   討論   饒舌界 的 歌迷 是 最 雙標 最不輸 不起 的 嗎,/bbs/Hip-Hop/M.1565070545.A.8B2.html
shane81004,3, 8/06,7,音樂   KHOW 高浩哲 trap 迪珈,/bbs/Hip-Hop/M.1565083704.A.006.html
shane81004,3, 8/06,15,音樂   Lil   SwvySowut 近期 新 歌 分享,/bbs/Hip-Hop/M.1565084136.A.00C.html
kero2377,6, 8/04,48,問題   有 沒 有人 覺得黃旭 變娘 了,/bbs/Hip-Hop/M.1564855959.A.3F5.html
combokang,9, 8/04,6,趣味   新 說 唱 ep8 小發現,/bbs/Hip-Hop/M.1564856357.A.742.html
nini04060,5, 8/04,25,討論   關於 這幾季 的 四壓 連發,/bbs/Hip-Hop/M.1564872462.A.DD6.html
jason851124,6, 8/04,23,問題   所以 我 說 套 詞 已經 是 公認 合理 的 嗎,/bbs/Hip-Hop/M.1564899482.A.74C.html
Capufish,3, 8/01,7,音樂   ICE     FALL   IN   LOVE,/bbs/Hip-Hop/M.1564649996.A.512.html
MF3HD,3, 8/01,11,音樂   stu   sis   八月份 推薦 曲目,/bbs/Hip-Hop/M.1564655974.A.A48.html
juice074,5, 8/01,13,討論   kid   cudi 近況,/bbs/Hip-Hop/M.1564674375.A.7BB.html
nwd4e9cd,5, 8/02,26,討論   熱狗 ig,/bbs/Hip-Hop/M.1564675468.A.131.html
KarlMarx,3, 7/30,3,音樂   Big   Sean     Single   Again,/bbs/Hip-Hop/M.1564502128.A.99E.html
KarlMarx,3, 7/31,3,音樂   Snoop   Dogg     Countdown   ft   Swizz   Beatz,/bbs/Hip-Hop/M.1564503358.A.24A.html
yuxds,3, 7/31,2,音樂   福克斯 心妹 RESPECTHATERS,/bbs/Hip-Hop/M.1564507506.A.C7D.html
KarlMarx,3, 7/29,4,音樂   水神   ZeoWater     史蒂芬   SteeVen     閃電  ,/bbs/Hip-Hop/M.1564400815.A.DFF.html
Wooper,9, 7/29,6,趣味 熊仔夢中 夢 demo,/bbs/Hip-Hop/M.1564405799.A.428.html
michael82156,3, 7/29,1,音樂   You   Name   t     Blue   Monday   不如 慢點,/bbs/Hip-Hop/M.1564406646.A.6C1.html
dinter9921,5, 7/29,75,討論   2019 中國 新 說 唱 復 活賽 大雷,/bbs/Hip-Hop/M.1564407888.A.D74.html
